Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Nuevo León,2010,713330,5784442,12331.872287767774,MX-NLE
Oaxaca,2010,94130,4132148,2277.991978990104,MX-OAX
Puebla,2010,254973,6583278,3873.040148084283,MX-PUE
Querétaro,2010,155788,2368467,6577.587950349319,MX-QUE
Quintana Roo,2010,71907,1857985,3870.1604157191796,MX-ROO
San Luis Potosí,2010,153837,2822255,5450.854015671865,MX-SLP
Sinaloa,2010,303134,3026943,10014.526206803366,MX-SIN
Sonora,2010,259391,2944840,8808.322353676262,MX-SON
Tabasco,2010,38834,2402598,1616.3336521548756,MX-TAB
Tamaulipas,2010,318563,3527735,9030.241784034231,MX-TAM
Tlaxcala,2010,55483,1342977,4131.344021528291,MX-TLA
Veracruz,2010,466423,8062579,5785.034788496337,MX-VER
Yucatán,2010,163850,2320898,7059.767383142215,MX-YUC
Zacatecas,2010,60074,1622138,3703.3840524049124,MX-ZAC
Aguascalientes,2011,204349,1425607,14334.174846223399,MX-AGU
Baja California,2011,390595,3769020,10363.303988835294,MX-BCN
Baja California Sur,2011,94020,798447,11775.358915494704,MX-BCS
Campeche,2011,39585,928363,4263.957094369336,MX-CAM
Coahuila,2011,404104,3146771,12841.86234079315,MX-COA
Colima,2011,74517,731391,10188.394442917674,MX-COL
Chiapas,2011,137115,5543828,2473.291018408219,MX-CHP
Chihuahua,2011,417307,3741869,11152.367974399958,MX-CHH
CDMX,2011,1258266,9209944,13662.037467328792,
Durango,2011,273611,1832650,14929.801107685591,MX-DUR
Guanajuato,2011,319572,6166934,5182.024000905474,MX-GUA
Guerrero,2011,133297,3540685,3764.7234927704667,MX-GRO
Hidalgo,2011,118085,3082841,3830.3954047581433,MX-HID
Jalisco,2011,853525,8348151,10224.120287234862,MX-JAL
Estado de méxico,2011,1337238,16992418,7869.615730968952,
Michoacán,2011,196263,4748846,4132.856698237845,MX-MIC
Morelos,2011,181640,1971520,9213.19590975491,MX-MOR
Nayarit,2011,104982,1235456,8497.429289266473,MX-NAY
Nuevo León,2011,865816,5784442,14968.01247207596,MX-NLE
Oaxaca,2011,114745,4132148,2776.885048647822,MX-OAX
Puebla,2011,252665,6583278,3837.9816255670808,MX-PUE
Querétaro,2011,135300,2368467,5712.555843083311,MX-QUE
Quintana Roo,2011,56125,1857985,3020.7455926716307,MX-ROO
San Luis Potosí,2011,181273,2822255,6422.984457463979,MX-SLP
Sinaloa,2011,422212,3026943,13948.462194365735,MX-SIN
Sonora,2011,333229,2944840,11315.69117507233,MX-SON
Tabasco,2011,43126,2402598,1794.9736077362923,MX-TAB
Tamaulipas,2011,286918,3527735,8133.207284560773,MX-TAM
Tlaxcala,2011,57895,1342977,4310.945012461122,MX-TLA
Veracruz,2011,468921,8062579,5816.017430650912,MX-VER
Yucatán,2011,158040,2320898,6809.43324523525,MX-YUC
Zacatecas,2011,56425,1622138,3478.4340173277487,MX-ZAC
Aguascalientes,2012,225115,1425607,15790.817525447053,MX-AGU
Baja California,2012,455190,3769020,12077.144721970168,MX-BCN
Baja California Sur,2012,96659,798447,12105.87553087431,MX-BCS
Campeche,2012,44519,928363,4795.43023580216,MX-CAM
Coahuila,2012,421009,3146771,13379.079697887137,MX-COA
Colima,2012,79651,731391,10890.344562621087,MX-COL
Chiapas,2012,133917,5543828,2415.6052460502024,MX-CHP
Chihuahua,2012,498673,3741869,13326.842815715889,MX-CHH
CDMX,2012,1370853,9209944,14884.487896994813,
Durango,2012,283323,1832650,15459.744086432214,MX-DUR
Guanajuato,2012,352057,6166934,5708.784948890324,MX-GUA
Guerrero,2012,127938,3540685,3613.368599578895,MX-GRO
Hidalgo,2012,132800,3082841,4307.714864308604,MX-HID
Jalisco,2012,972370,8348151,11647.72894021682,MX-JAL
Estado de méxico,2012,1654403,16992418,9736.124664541563,
Michoacán,2012,223777,4748846,4712.239563043317,MX-MIC
Morelos,2012,186949,1971520,9482.480522642429,MX-MOR
Nayarit,2012,106980,1235456,8659.150953170327,MX-NAY
